Date,Open,High,Low,Close,Adj Close,Volume
"Apr 1, 2025",82551.92,88466.95,74436.68,83404.84,83404.84,518610880629
"Mar 1, 2025",84373.87,95043.44,76624.25,82548.91,82548.91,1049435373908
"Feb 1, 2025",102402.8,102755.73,78248.91,84373.01,84373.01,1257276788562
"Jan 1, 2025",93425.1,109114.88,89260.1,102405.02,102405.02,1668843382017
"Dec 1, 2024",96461.34,108268.45,91317.13,93429.2,93429.2,2057355570135
"Nov 1, 2024",70216.9,99655.5,66803.65,96449.05,96449.05,2055808875264
"Oct 1, 2024",63335.61,73577.21,58895.21,70215.19,70215.19,993732418048
"Sep 1, 2024",58969.8,66480.7,52598.7,63329.5,63329.5,879117914822
"Aug 1, 2024",64625.84,65593.24,49121.24,58969.9,58969.9,1043105485208
"Jul 1, 2024",62673.61,69987.54,53717.38,64619.25,64619.25,953395573307
"Jun 1, 2024",67489.61,71907.85,58601.7,62678.29,62678.29,726773965644
"May 1, 2024",60609.5,71946.46,56555.29,67491.41,67491.41,874291509757
"Apr 1, 2024",71333.48,72715.36,59120.07,60636.86,60636.86,1016068331704
"Mar 1, 2024",61168.06,73750.07,59323.91,71333.65,71333.65,1446417844950
"Feb 1, 2024",42569.76,63913.13,41879.19,61198.38,61198.38,830721862621
"Jan 1, 2024",42280.23,48969.37,38521.89,42582.61,42582.61,825918941347
"Dec 1, 2023",37718.01,44705.52,37629.36,42265.19,42265.19,721704910480
"Nov 1, 2023",34657.27,38415.34,34133.44,37712.75,37712.75,570863267380
"Oct 1, 2023",26967.4,35150.43,26558.32,34667.78,34667.78,476425634860
"Sep 1, 2023",25934.02,27488.76,24930.3,26967.92,26967.92,337637313742
"Aug 1, 2023",29230.87,30176.8,25409.11,25931.47,25931.47,437724169499
"Jul 1, 2023",30471.85,31814.52,28934.29,29230.11,29230.11,382224489090
"Jun 1, 2023",27218.41,31389.54,24797.17,30477.25,30477.25,481734214225
"May 1, 2023",29227.1,29820.13,25878.43,27219.66,27219.66,443473015479
"Apr 1, 2023",28473.33,31005.61,27070.85,29268.81,29268.81,511540319004
"Mar 1, 2023",23150.93,29159.9,19628.25,28478.48,28478.48,883299703608
"Feb 1, 2023",23137.84,25134.12,21460.09,23147.35,23147.35,723968574897
"Jan 1, 2023",16547.91,23919.89,16521.23,23139.28,23139.28,690994018045
"Dec 1, 2022",17168.0,18318.53,16398.14,16547.5,16547.5,541356716034
"Nov 1, 2022",20494.9,21446.89,15599.05,17168.57,17168.57,1224531549126
"Oct 1, 2022",19431.11,20988.39,18319.82,20495.77,20495.77,957903424925
"Sep 1, 2022",20050.5,22673.82,18290.31,19431.79,19431.79,1123272250385
"Aug 1, 2022",23336.72,25135.59,19600.79,20049.76,20049.76,894192654543
"Jul 1, 2022",19820.47,24572.58,18966.95,23336.9,23336.9,927582363389
"Jun 1, 2022",31792.55,31957.29,17708.62,19784.73,19784.73,923939211678
"May 1, 2022",37713.27,39902.95,26350.49,31792.31,31792.31,1105689315990
"Apr 1, 2022",45554.16,47313.48,37697.94,37714.88,37714.88,830115888649
"Mar 1, 2022",43194.5,48086.84,37260.2,45538.68,45538.68,830943838435
"Feb 1, 2022",38481.77,45661.17,34459.22,43193.23,43193.23,671335993325
"Jan 1, 2022",46311.75,47881.41,33184.06,38483.13,38483.13,923979037681
"Dec 1, 2021",56907.96,59041.68,42874.62,46306.45,46306.45,957047184722
"Nov 1, 2021",61320.45,68789.63,53569.77,57005.43,57005.43,1053270271383
"Oct 1, 2021",43816.74,66930.39,43320.02,61318.96,61318.96,1153077903534
"Sep 1, 2021",47099.77,52853.77,39787.61,43790.89,43790.89,1102139678824
"Aug 1, 2021",41460.84,50482.08,37458.0,47166.69,47166.69,1014674184428
"Jul 1, 2021",35035.98,42235.55,29360.96,41626.2,41626.2,819103381204
"Jun 1, 2021",37293.79,41295.27,28893.62,35040.84,35040.84,1189647451707
"May 1, 2021",57714.66,59519.36,30681.5,37332.86,37332.86,1976593438572
"Apr 1, 2021",58926.56,64863.1,47159.48,57750.18,57750.18,1844481772417
"Mar 1, 2021",45159.5,61683.86,45115.09,58918.83,58918.83,1681184264687
"Feb 1, 2021",33114.58,58330.57,32384.23,45137.77,45137.77,2267152936675
"Jan 1, 2021",28994.01,41946.74,28722.76,33114.36,33114.36,2153473433571
